internal_key	short	english	swedish	darwin_core	comments
Total Nitrogen Tot-N (umol/l)	NTOT	Total Nitrogen Tot-N (umol/l)	Total kväve Tot-N (umol/l)		Hyd
Total organic carbon TOC (mg/l)	TOC	Total organic carbon TOC (mg/l)	Total Organiskt Kol TOC (mg/l)		Hyd
transect_video	VIDEO_RECORD	Transect video recorded (Y/N)	Transekt videofilmad (Y/N)	TransectVideo	Bio
transect_width_m	TRANSW	Transect width (m)	Transektbredd (m)	TransectWidth	Bio
transect_max_distance_m	DISTS_MAX	Sample max distance from start (m)	Provets maxavstånd från start (m)	TransectMaxDistance	Bio
transect_min_distance_m	DISTS_MIN	Sample min distance from start (m)	Provets minavstånd från start (m)	TransectMinDistance	Bio
transect_min_depth_m	TRANS_MINDEP	Transect minimum depth	Transektets minsta djup	TransectMinDepth	Bio
transect_stop_depth_m	TRANS_STOP_DEP	Transect stop depth	Transektets slutdjup		Bio
transect_end_latitude_dd	TRS_LAT_END_DD	Transect end latitude (DD)	Transektets slutlatitud (DD)		Bio
transect_end_longitude_dd	TRS_LON_END_DD	Transect end longitude (DD)	Transektets slutlongitud (DD)		Bio
transect_start_depth_m	TRANS_START_DEP	Transect start depth	Transektets startdjup		Bio
transect_start_latitude_dd	TRS_LAT_START_DD	Transect start latitude (DD)	Transektets startlatitud (DD)		Bio
transect_start_longitude_dd	TRS_LON_START_DD	Transect start longitude (DD)	Transektets startlongitud (DD)		Bio
transect_max_depth_m	TRANS_MAXDEP	Transect maximum depth	Transektets största djup	TransectMaxDepth	Bio
transect_id	TRANS_ID	Reported transect identifier	Rapporterat transekt-ID	TransectId	Bio
transect_comment	COMNT_TRANS	Transect comment	Transekt-kommentar	TransectComment	Bio
transect_length_m	TRANSL	Transect length (m)	Transektlängd (m)	TransectLength	Bio
transect_direction_deg	TRANSDIR	Transect direction (deg)	Transektriktning (grad)	TransectDirection	Bio
trophic_type_code	TRPHY	Trophic type (code)	Trofityp (kod)	TrophicType	Bio
Pressure CTD (dbar)	PRES_CTD	Pressure CTD (dbar)	Tryck CTD (dbar)		Hyd
monitoring_program_code	MPROG	Monitoring program (code)	Typ av övervakningsprogram (kod)	MonitoringProgramCode	Bio
monitoring_station_type_code	MSTAT	Monitoring station type (code)	Typ av övervakningsstation (kod)		Bio
location_type_area	WATER_TYPE_AREA	Water type area	Typområde	LocationTypeAreaName	Bio
section_bare_substrate	SECT_BARE_SUBST	Bare substrate cover in section	Täckningsgrad bart substrat (avsnitt)		Bio
section_substrate_cover_boulder	SECT_COVER_BOULDER	Section substrate cover boulder	Täckningsgrad block (avsnitt)	SectCoverBoulder	Bio
sample_substrate_cover_boulder	SUBST_COVER_BOULDER	Sample substrate cover boulder	Täckningsgrad block (prov)	SubstCoverBoulder	Bio
section_substrate_cover_gravel	SECT_COVER_GRAVEL	Section substrate cover gravel	Täckningsgrad grus (avsnitt)	SectCoverGravel	Bio
sample_substrate_cover_gravel	SUBST_COVER_GRAVEL	Sample substrate cover gravel	Täckningsgrad grus (prov)	SubstCoverGravel	Bio
section_substrate_cover_rock	SECT_COVER_ROCK	Section substrate cover rock	Täckningsgrad häll (avsnitt)	SectCoverRock	Bio
sample_substrate_cover_rock	SUBST_COVER_ROCK	Sample substrate cover rock	Täckningsgrad häll (prov)	SubstCoverRock	Bio
section_substrate_cover_softbottom	SECT_COVER_SOFTBOTTOM	Section substrate cover soft bottom	Täckningsgrad mjukbotten (avsnitt)	SectCoverSoftbottom	Bio
sample_substrate_cover_softbottom	SUBST_COVER_SOFTBOTTOM	Sample substrate cover soft bottom	Täckningsgrad mjukbotten (prov)	SubstCoverSoftbottom	Bio
section_substrate_cover_sand	SECT_COVER_SAND	Section substrate cover sand	Täckningsgrad sand (avsnitt)	SectCoverSand	Bio
sample_substrate_cover_sand	SUBST_COVER_SAND	Sample substrate cover sand	Täckningsgrad sand (prov)	SubstCoverSand	Bio
section_debris_cover	SECT_DEBR_COV	Debris cover in section	Täckningsgrad skräp (avsnitt)		Bio
section_substrate_cover_stone	SECT_COVER_STONE	Section substrate cover stone	Täckningsgrad sten (avsnitt)	SectCoverStone	Bio
sample_substrate_cover_stone	SUBST_COVER_STONE	Sample substrate cover stone	Täckningsgrad sten (prov)	SubstCoverStone	Bio
Urea (umol/l)	UREA	Urea (umol/l)	Urea (umol/l)		Hyd
dev_stage_code	STAGE	Stage (code)	Utvecklingsstadium (kod)	SpeciesDevStage	Bio
variable_comment	COMNT_VAR	Variable comment	Variabel-kommentar	VariableComment	Bio
water_land_station_type_code	WLTYP	Water land type (code)	Vatten land stationstyp (kod)	WaterLandTypeCode	Bio
location_water_district	WATER_DISTRICT	Water district	Vattendistrikt	LocationWaterDistrict	Bio
water_depth_m	WADEP	Station water depth	Vattendjup vid stationen	WaterDepth	Bio
location_svar_sea_area_name	SEA_AREA_NAME	Sea area name	Vattenförekomst	LocationSvarSeaAreaName	Hyd
location_svar_sea_area_code	SEA_AREA_CODE	Sea area code	Vattenförekomst-kod	LocationSvarSeaAreaCode	Hyd
location_water_category	WATER_CATEGORY	Water category	Vattenkategori	LocationWaterCategoryType	Bio
water_level_deviation_m	WATLD	Sea level	Vattenstånd	WaterLevelDeviation	Bio
scientific_name	SCIENTIFIC_NAME	Scientific name	Vetenskapligt namn	ScientificName	Bio
transect_video_name	VID_NAME	Video name	Video namn		Bio
video_interpreted	VIDEO_INTERP	Video interpreted (Y/N)	Videotolkad (Y/N)	VideoInterpreted	Bio
transect_video_interpreter	VIDEO_INTER	Video interpreter	Videotolkare		Bio
wind_speed_ms	WINSP	Wind speed (m/s)	Vindhastighet (m/s)	WindSpeed	Bio
wind_direction_code	WINDIR	Wind direction (code)	Vindriktning (kod)	WindDirectionCode	Hyd
wire_angle_deg	WIRAN	Wire angle (deg)	Wire-vinkel (grad)	WireAngle	Bio
wave_exposure_fetch	WAVXP	Wave exposure	Vågexponeringsgrad	WaveExposure	Bio
wave_height_m	WAVHT	Wave height (m)	Våghöjd (m)	WaveHeight	Bio
wave_observation_code	WAVES	Wave observation (code)	Vågobservation (kod)		Bio/Hyd
weather_observation_code	WEATH	Weather observations (code)	Väderlek (kod)	WeatherObservationsCode	Bio/Hyd
calc_by_dc	CALC_BY_DATA_CENTRE	Value calculated by data centre	Värde beräknat av datavärd	CalcByDv	Bio
visit_year	MYEAR	Year	År	VisitYear	Bio/Hyd
changelog_comment	CHANGE_LOG_COMNT	Change log comment (data centre)	Ändringskommentar (datavärd)	ChangelogComment	Bio
sample_part_min_cm	SPMIN	Minimum depth in sample (cm)	Övre provdjup (cm)	SamplePartMin	Bio
upper_mesh_size_um	MESH_UPPER	Upper mesh size (um)	Övre såll (um)	MeshSizeUpper	Bio
additional_sampling	ADD_SMP	Additional Sampling	Övrig Provtagning		Hyd
flowmeter_length_m	FLOW_READ	Flowmeter length (m)	Flödesmätare draglängd (m)		Bio
visit_transect_start_latitude_dd	VISIT_TRANS_LAT_START	Transect start latitude (DD)	Transektets startlatitud (DD)		Bio
visit_transect_start_longitude_dd	VISIT_TRANS_LONG_START	Transect start longitude (DD)	Transektets startlongitud (DD)		Bio
visit_transect_end_latitude_dd	VISIT_TRANS_LAT_STOP	Transect end latitude  (DD)	Transektets slutlatitud (DD)		Bio
visit_transect_end_longitude_dd	VISIT_TRANS_LONG_STOP	Transect end longitude (DD)	Transektets slutlongitud (DD)		Bio
observation_date	ODATE	Observation date	Observationsdatum		Bio
observation_time	OTIME	Observation time	Observationstid		Bio
unanalysed_original_data	UNANA	Unanalysed original data	Oanalyserad originaldata		Bio
deployed_days_per_month	deployed_days_per_month	Days observed	Observationsdagar		Bio
storage_temperature	STTEMP	Storage temperature	Förvaringstemperatur		Bio
internal_standard	INTSTD	Internal standard	Intern standard		Bio
volume_filtered	FILTVOL	Filtered volume	Filtrerad volym		Bio
filtration_time	FILTTIME	Filtration time	Filtreringstid		Bio
sample_replicate	NREP	Replicate	Replikat		Bio
number_of_replicates	CREP	Number of replicates	Antal replikat		Bio
sequence_archive_accession	SEQ_ARCHIVE	Sequence archive accession	Sekvensarkiv ID		Bio
absolute_sequence_variant_id	ASV_ID	Absolute sequence variant ID	Absolut sekvensvariant ID		Bio
operational_taxonomic_unit_id	OTU_ID	Operational taxonomic unit ID	Operationell taxonomisk enhet ID		Bio
sequence	SEQUENCE	Sequence 	Sekvens		Bio
gene	GENE	Gene	Gen		Bio
primer_pair	PRIMER	Primer pair	Primer par		Bio
species_reference_list	RLIST	Species reference list	Artreferenslista		Bio
extraction_date	EXTRDATE	Extraction date	Extraktionsdatum		Bio
bioinformatic_analysis_date	BIOINFODATE	Bioinformatic analysis date	Datum för bioifnormatisk analys		Bio
annotation_confidence	ANOCONF	Annotation confidence	Annoteringskonfidens		Bio
relative_abundance_comment	COMNT_RELAB	Relative abundance comment	Relativ abundans kommentar		Bio
substrate_code	SUBST	Substrate (code)	Substrat (kod)		Bio
attenuation_coeff	ATT_COEFF	Attenuation coefficient (/m)	Attenueringskoefficient (/m)		Bio
ffactor_gargas1975	FFAKTOR_GARGAS1975	F factor Gargas 	F faktor Gargas		Bio
calculation_comment	COMNT_CALC	Calculation comment	Kommentar beräkning		Bio
qflag_attenuation_coeff	Q_ATT_COEFF	Q-flag attenuation coefficient	Q-flagga attenuationskoefficient		Bio
R2_PI_curve	R2	R2 value PI curve	R2-värde ljusresponskurva		Bio
n_step_PI_slope	nPI_SLOPE	Number of values used for PI slope calculation	Antal punkter för beräkning av ljusresponskurvans initiallutning		Bio
n_step_PI	nPI	Number of values used for PI curve calculation	Antal punkter för beräkning av ljusresponskurvan		Bio
C14_batch	BATCH	C14 batch number	C14 batch nummer		Bio
picotype	PICOPLANKTON_TYPE	Picoplankton type	Picoplankton typ		Bio
replicate_no	REPLI_NO	Replicate number	Replikatnummer		Bio
coefficient_fgC_cell	COEFF_C	Coefficient for C calculation (fg C cell-1)	Koefficient för C beräkning (fg C cell-1)		Bio
oxidized_layer_cm	OXID_L	Oxidized layer (cm)	Oxiderat skikt (cm)		Bio
age_years	AGE	Age (years)	Ålder (år)		Bio
body_length_cm	BODY_LENGTH 	Body length (cm)	Kroppslängd (cm)		Bio
body_weight_kg	BODY_WEIGHT	Body weight (kg)	Kroppsvikt (kg)		Bio
blubber_thickness_cm	BLUBBER_THICKNESS	Blubber thickness (cm)	Späcktjocklek (cm)		Bio
autolysis_class	AUTOLYSIS	Autolysis (class)	Autolysis (klass)		Bio
regional_skin_changes_class	REGIONAL_SKIN_CHANGES	Regional skin changes (class)	Hudförändringar (klass)		Bio
claw_lesions_class	CLAW_LESIONS	Claw lesions (class)	Kloskada (klass)		Bio
parodontitis_class	PARODONTITIS	Paradontitis (class)	Tandlossning (klass)		Bio
cronic_cholangiohepatitis_y_n	CRONIC_CHOLANGIOHEPATITIS	Cronic cholangiohepatitis (Y/N)	Kronisk leverinflammation (Y/N)		Bio
intestinal_ulcer_class	INTESTINAL_ULCER	Intestinal ulcer (class)	Magsår (klass)		Bio
pneumonia_y_n	PNEUMONIA	Pneumonia (Y/N)	Lunginflammation (Y/N)		Bio
arteriosclerosis_class	ARTERIOSCLEROSIS	Arteriosclerosis (class)	Arteriosclerosis (klass)		Bio
adreno_cort_hyperplasia_class	ADRENO_CORT-HYPERPLASIA	Adreno corto-hyperplasioa (class)	Adreno corto-hyperplasioa (klass)		Bio
kidney_glomerular_change_class	KIDNEY_GLOMERULAR_CHANGE	Kidney glomerular change (class)	Njure glomerulär föändring (klass)		Bio
kidney_tubular_hyperplasia_class	KIDNEY_TUBULAR_HYPERPLASIA	Kidney tubular hyperplasia (class)	Njure tubulär hyperplasia (klass)		Bio
uterus_pregnant_y_n	UTERUS_PREGNANT	Uterus pregnant (Y/N)	Livmoder dräktig (Y/N)		Bio
uterus_stenosis_occlusion_y_n	UTERUS_STENOSIS_OCCLUSION	Uterus stenosis occlusion (class)	Livmoder stenosis occlusion (Y/N)		Bio
uterus_tumour_y_n	UTERUS_TUMOUR	Uterus tumour (Y/N)	Livmodertumör (Y/N)		Bio
bvol_scientific_name	UPDATED_SCIENTIFIC_NAME	Updated scientific name	Uppdaterat vetenskapligt namn		Bio
bvol_size_class	UPDATED_SIZCL	Updated size class	Uppdaterad storleksklass		Bio
bvol_ref_list	UPDATED_SIZRF	Updated size class reference list	Uppdaterad storleksreferens-lista		Bio
bvol_aphia_id	UPDATED_APHIA_ID	Updated AphiaID	Uppdaterat AphiaID		Bio
